id.orig_h,id.resp_h,proto,conn_state,history,id.orig_p,id.resp_p,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
255.241.143.146,255.255.255.45,udp,RSTO,D,45197,69004,0,5,160,1,138,Benign
133.116.69.71,98.109.87.26,udp,RSTOS0,Ar,45197,29040,0,1,91,0,9,Benign
176.155.91.94,59.210.167.203,udp,RSTOS0,Ar,45197,32166,0,2,117,0,10,Benign
177.155.91.95,221.217.142.67,udp,RSTOS0,D,45197,50816,0,4,93,2,75,Benign
125.109.64.67,71.14.130.30,udp,RSTO,Ar,45197,36062,0,2,106,1,68,Benign
255.230.137.143,34.99.1.42,udp,RSTOS0,D,45197,44226,0,1,110,0,140,Benign
229.200.118.121,2.195.79.250,udp,RSTOS0,Ar,45197,58543,0,2,81,0,83,Benign
253.222.131.134,118.255.246.89,tcp,RSTO,Ar,45197,42279,0,2,163,0,9,Benign
215.187.111.115,80.210.36.6,udp,RSTO,D,45197,24326,0,2,133,0,59,Benign
204.178.106.110,125.36.22.91,udp,RSTO,D,45197,36074,0,1,99,0,48,Benign
230.201.119.124,41.53.141.47,udp,RSTO,D,45197,56425,0,1,93,0,54,Malicious
170.150.87.91,29.214.109.202,udp,RSTOS0,Ar,45197,35815,0,2,104,0,70,Malicious
213.187.110.113,177.240.242.120,udp,RSTOS0,Sr,45197,46079,0,2,107,0,9,Malicious
255.231.137.141,232.53.133.84,udp,RSTO,D,45304,37402,0,1,81,0,9,Malicious
250.219.129.134,255.129.255.209,udp,RSTOS0,Ar,45197,60543,0,3,87,0,36,Malicious
153.134.79.83,177.168.193.179,udp,RSTOS0,Ar,45197,35390,0,2,81,0,28,Malicious
169.148.87.90,161.11.180.150,udp,RSTOS0,Sr,45197,40370,0,2,114,0,32,Malicious
169.148.87.90,23.97.162.10,udp,RSTO,D,45197,41149,0,1,100,0,51,Malicious
127.111.66.68,117.109.27.30,udp,RSTR,Ar,45197,20866,0,1,83,0,9,Malicious
226.199.117.120,64.255.233.19,udp,RSTO,D,45197,48254,0,3,168,0,90,Malicious
